ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression-J,Max Tension-J,Envelope:QG2+(100/30-BSE-1E)/m-Max,Envelope:QG2+(100/30-BSE-1E)/m-Min,Envelope:QG2+(100/30-BSE-2E)/m-Max,Envelope:QG2+(100/30-BSE-2E)/m-Min,Max Compression-m,Max Tension-m
Base-39,Base,39,948,341,No,173.5833,0,No,0,23.9,2.9,27.3,6.2,27.3,2.9,19.5,7.3,18.9,7.9,19.5,7.3
Base-42,Base,42,949,341,No,196.5833,0,No,0,61.5,-41.9,64,-39.5,64,-41.9,39.8,-20.2,36.9,-17.2,39.8,-20.2
Base-56,Base,56,950,246.4167,No,133.6667,0,No,0,268.8,-218.9,275.9,-211.8,275.9,-218.9,166.3,-116.5,152.6,-102.7,166.3,-116.5
Base-63,Base,63,877,246.4167,No,110.3333,0,No,0,491.1,-283.3,521.6,-252.7,521.6,-283.3,328.4,-120.6,306.5,-98.7,328.4,-120.6
Base-66,Base,66,951,246.4167,No,115.3333,0,No,0,287.3,-236.6,294.6,-229.3,294.6,-236.6,177.2,-126.6,162.5,-111.9,177.2,-126.6
Base-133,Base,133,709,246.4167,No,149.3333,0,No,0,204.1,12.9,237.9,46.8,237.9,12.9,163.9,53.1,158.5,58.5,163.9,53.1
Base-134,Base,134,710,246.4167,No,165,0,No,0,233.7,13.8,272,52.1,272,13.8,187.5,60,181.3,66.2,187.5,60
Base-135,Base,135,711,246.4167,No,188.3333,0,No,0,417.2,-146.5,457.9,-105.7,457.9,-146.5,298.8,-28.1,282.9,-12.3,298.8,-28.1
Base-137,Base,137,954,255.0833,No,133.6667,0,No,0,126.2,-86.3,131.9,-80.6,131.9,-86.3,81.6,-41.7,75.6,-35.7,81.6,-41.7
Base-145,Base,145,955,255.0833,No,115.3333,0,No,0,153.3,-95.8,161.5,-87.6,161.5,-95.8,101,-43.5,94.4,-37,101,-43.5
Base-151,Base,151,956,255.0833,No,91.5,0,No,0,207.9,-183.1,211.1,-179.9,211.1,-183.1,125.7,-101,114.7,-90,125.7,-101
Base-156,Base,156,957,207.5,No,91.5,0,No,0,131.8,-52,143.6,-40.2,143.6,-52,93.2,-13.4,88.3,-8.5,93.2,-13.4
Base-159,Base,159,958,232.3333,No,91.5,0,No,0,67.5,-41,70.8,-37.7,70.8,-41,44.7,-18.2,42,-15.5,44.7,-18.2
Base-166,Base,166,959,196.75,No,29.7083,0,No,0,84.2,-13.6,95.4,-2.3,95.4,-13.6,63.7,7,61.4,9.2,63.7,7
Base-167,Base,167,960,196.75,No,23.7083,0,No,0,161.8,-80,174.7,-67.1,174.7,-80,111,-29.2,105.5,-23.6,111,-29.2
Base-173,Base,173,961,196.75,No,32.8333,0,No,0,153.4,-93.4,162.8,-83.9,162.8,-93.4,101.5,-41.6,94.7,-34.7,101.5,-41.6
Base-179,Base,179,962,196.75,No,44.9375,0,No,0,81.8,24.8,99,41.9,99,24.8,69.9,36.8,68.3,38.3,69.9,36.8
Base-181,Base,181,963,196.75,No,47.6042,0,No,0,122.8,-16.2,139.9,0.8,139.9,-16.2,93.6,13,89.8,16.8,93.6,13
Base-185,Base,185,964,196.75,No,59.9792,0,No,0,150.5,-41.9,168,-24.4,168,-41.9,110.1,-1.5,104.8,3.9,110.1,-1.5
Base-202,Base,202,381,196.75,No,76.8333,0,Yes,0,199.5,-121.2,211.8,-108.9,211.8,-121.2,132.1,-53.8,123.2,-45,132.1,-53.8
Base-387,Base,387,968,196.75,No,17.5,0,No,0,140.3,-80.1,149.8,-70.6,149.8,-80.1,94,-33.8,89,-28.9,94,-33.8
Base-388,Base,388,969,196.75,No,14,0,No,0,262.7,-192.9,274.2,-181.4,274.2,-192.9,167,-97.2,154.4,-84.7,167,-97.2
Base-389,Base,389,693,196.75,No,0,0,No,0,631.1,-415.3,664,-382.4,664,-415.3,411.3,-195.5,389.1,-173.3,411.3,-195.5
Base-401,Base,401,1283,122.75,No,14,0,No,0,89.5,-27.2,98.4,-18.3,98.4,-27.2,65,-2.7,61.7,0.6,65,-2.7
Base-402,Base,402,1275,120.75,No,14,0,No,0,347,-204.8,368.5,-183.3,368.5,-204.8,231.1,-88.9,217.7,-75.6,231.1,-88.9
Base-407,Base,407,1285,131.9167,No,14,0,No,0,9.8,-4.2,10.4,-3.5,10.4,-4.2,6.8,-1.3,6.5,-0.9,6.8,-1.3
Base-412,Base,412,970,140.75,No,14,0,No,0,91.1,35.2,113.6,57.7,113.6,35.2,79.3,46.9,78,48.3,79.3,46.9
Base-417,Base,417,971,144,No,14,0,No,0,-1,-44.6,-9.1,-52.7,-1,-52.7,-10.1,-35.4,-11.2,-34.4,-10.1,-35.4
Base-426,Base,426,972,157,No,14,0,No,0,163.6,-113,172.3,-104.4,172.3,-113,105.5,-54.9,99.1,-48.5,105.5,-54.9
Base-427,Base,427,973,148,No,14,0,No,0,44,-45.6,43.5,-46.1,44,-46.1,25.2,-26.8,23.1,-24.7,25.2,-26.8
Base-452,Base,452,671,175.5833,No,0,0,No,0,488.3,-258.2,522.4,-224.2,522.4,-258.2,331.5,-101.4,310.8,-80.7,331.5,-101.4
Base-457,Base,457,974,167.0833,No,8.6667,0,No,0,140.5,-83.9,148.4,-76,148.4,-83.9,93.3,-36.8,87.1,-30.6,93.3,-36.8
Base-459,Base,459,975,171.5833,No,8.6667,0,No,0,180.6,-124.8,188.4,-117,188.4,-124.8,116.4,-60.7,108,-52.3,116.4,-60.7
Base-464,Base,464,976,175.5833,No,8.6667,0,No,0,289.9,-218.1,300,-208,300,-218.1,183.2,-111.4,169.3,-97.6,183.2,-111.4
Base-512,Base,512,977,157.25,No,8.6667,0,No,0,180.5,-103.3,191.3,-92.4,191.3,-103.3,120.9,-43.7,113,-35.8,120.9,-43.7
Base-513,Base,513,978,162.1667,No,8.6667,0,No,0,118.6,-67.3,125.8,-60.1,125.8,-67.3,79.6,-28.2,74.3,-23,79.6,-28.2
Base-516,Base,516,979,157.25,No,4.5,0,No,0,174.4,-95.9,185.4,-84.9,185.4,-95.9,117.6,-39.1,111.3,-32.8,117.6,-39.1
Base-517,Base,517,7167,157.25,No,0,0,No,0,185.7,-157.5,189.7,-153.5,189.7,-157.5,113.6,-85.4,104.3,-76,113.6,-85.4
Base-530,Base,530,981,175.5833,No,4.5,0,No,0,224,-170.2,231.8,-162.4,231.8,-170.2,141.2,-87.4,132.2,-78.5,141.2,-87.4
Base-552,Base,552,1644,120.75,No,25.5,0,No,0,67.5,-21.9,74.7,-14.8,74.7,-21.9,48.7,-3.1,46.3,-0.7,48.7,-3.1
Base-553,Base,553,1643,120.75,No,22,0,No,0,204.7,-153.1,212.9,-144.9,212.9,-153.1,129.5,-78,119.3,-67.8,129.5,-78
Base-559,Base,559,1648,120.75,No,32.8333,0,No,0,148.3,-85.2,158.2,-75.3,158.2,-85.2,99.3,-36.2,92.6,-29.5,99.3,-36.2
