ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-2117,1123,No,Base,2117,No,50.9167,111.9167,0,1194bd19-64ac-4896-9219-78e7d2956c60,308.36,-136.79,334.425,-110.725,334.425,-136.79
Base-2118,1124,No,Base,2118,No,50.9167,109.8333,0,b8ac652e-6da7-49e2-a123-2a5f83a1796b,106.789,-76.464,111.788,-71.465,111.788,-76.464
Base-2123,1277,No,Base,2123,No,106.9167,26.5,0,be6fa3d4-1ef1-49e0-bb38-f1c33a5d9615,0,0,0,0,0,0
Base-2124,1276,No,Base,2124,No,106.9167,22,0,1105697e-eefa-4021-8acd-64cfeca6795d,0,0,0,0,0,0
Base-2135,1125,No,Base,2135,No,50.9167,177.8333,0,b1db0967-3147-4675-8a73-37b3ca74f241,110.714,-0.791,126.357,14.852,126.357,-0.791
Base-2144,1126,No,Base,2144,No,50.9167,171.4167,0,86e6a61d-38bf-456f-ae5c-6ef229a24113,148.715,4.012,171.11,26.407,171.11,4.012
Base-2168,1127,No,Base,2168,No,50.9167,87.5,0,4cffd6d6-01af-4ee2-9c94-64d5b83e8f35,42.166,-21.158,45.213,-18.111,45.213,-21.158
Base-2173,1128,No,Base,2173,No,50.9167,81.5,0,df9bd3b1-da07-4528-b0ba-2a48e3a894c2,55.327,-38.69,57.739,-36.278,57.739,-38.69
Base-2178,1129,No,Base,2178,No,50.9167,84.5,0,38e80f12-6d1b-4002-b87f-e566b3d6c976,59.077,-39.239,61.951,-36.366,61.951,-39.239
Base-2188,1130,No,Base,2188,No,50.9167,78.5,0,1cde7b8a-bfb6-415a-b7c6-6bbc69239acd,13.561,-3.929,15.009,-2.481,15.009,-3.929
Base-2189,1131,No,Base,2189,No,50.9167,69.5,0,257ac818-1dc0-4925-b13c-232476811935,38.426,-15.952,41.8,-12.579,41.8,-15.952
Base-2195,2603,No,Base,2195,No,50.9167,63.5,0,04484c84-0771-446f-8ce8-d1a38913ffcd,0,0,0,0,0,0
Base-2199,2608,No,Base,2199,No,50.9167,60.5,0,2e308f8e-a814-4e91-b36d-a6c9cffb0ee0,0,0,0,0,0,0
Base-2203,2611,No,Base,2203,No,50.9167,56.5,0,a47c583d-053e-42b2-bab5-9a6498ddfd25,0,0,0,0,0,0
Base-2207,1132,No,Base,2207,No,50.9167,53.5,0,6afc6d27-66c6-4940-9956-645b3bc52f8b,25.848,-0.202,29.675,3.624,29.675,-0.202
Base-2208,1282,No,Base,2208,No,106.9167,50,0,9ca145a2-3ebb-4603-a1fa-0a96084ba3df,0,0,0,0,0,0
Base-2209,1278,No,Base,2209,No,106.9167,31.5,0,6b3d0d9a-1560-42c2-bdb1-8ae252f8e5ce,0,0,0,0,0,0
Base-2214,2617,No,Base,2214,No,50.9167,50,0,fd41877e-d3c8-4861-bfe2-9c4f54d1bc1c,0,0,0,0,0,0
Base-2218,1133,No,Base,2218,No,50.9167,74,0,40582f8d-f608-4a39-95b4-ee74db106bfc,10.323,3.104,12.34,5.121,12.34,3.104
Base-2227,1134,No,Base,2227,No,46.9167,177.8333,0,7490d42a-bb13-4333-9250-05aed52c6a2e,41.331,34.056,52.693,45.417,52.693,34.056
